best_value,firstgen_with_best_value,population_gen_type,problem_type,convergence_array,problem_number
7802.0,10,2,knapsack,"[5782.0, 6210.0, 6728.0, 6982.0, 7339.0, 7482.0, 7659.0, 7740.0, 7786.0, 7799.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0, 7802.0]",0
7807.0,10,1,knapsack,"[6003.0, 5833.0, 6361.0, 6967.0, 7281.0, 7414.0, 7601.0, 7694.0, 7790.0, 7804.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0, 7807.0]",0
7806.0,12,0,knapsack,"[5907.0, 5988.0, 6624.0, 7024.0, 7128.0, 7420.0, 7616.0, 7703.0, 7769.0, 7799.0, 7804.0, 7805.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0]",0
15654.0,16,2,knapsack,"[10714.0, 11680.0, 12268.0, 12909.0, 13373.0, 13799.0, 14291.0, 14712.0, 14893.0, 15198.0, 15478.0, 15455.0, 15603.0, 15635.0, 15636.0, 15651.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0, 15654.0]",1
15563.0,16,1,knapsack,"[9904.0, 10644.0, 11313.0, 11904.0, 12778.0, 13611.0, 13867.0, 14224.0, 14553.0, 14745.0, 15141.0, 15174.0, 15342.0, 15403.0, 15490.0, 15546.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0, 15563.0]",1
15550.0,17,0,knapsack,"[9910.0, 10337.0, 11907.0, 11673.0, 12337.0, 13143.0, 13660.0, 14230.0, 14740.0, 14911.0, 15116.0, 15263.0, 15395.0, 15447.0, 15529.0, 15540.0, 15548.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0, 15550.0]",1
24548.0,23,1,knapsack,"[15188.0, 16055.0, 17132.0, 17406.0, 17923.0, 19842.0, 19642.0, 21295.0, 21173.0, 22173.0, 22470.0, 23212.0, 23525.0, 23701.0, 24005.0, 24173.0, 24324.0, 24444.0, 24492.0, 24510.0, 24534.0, 24539.0, 24546.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0, 24548.0]",2
24331.0,22,0,knapsack,"[15173.0, 16971.0, 17363.0, 17899.0, 19014.0, 19698.0, 20308.0, 20667.0, 21300.0, 22132.0, 22942.0, 23122.0, 23325.0, 23683.0, 23937.0, 24091.0, 24173.0, 24288.0, 24308.0, 24319.0, 24327.0, 24330.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0, 24331.0]",2
31968.0,25,1,knapsack,"[20641.0, 20259.0, 21826.0, 22422.0, 23194.0, 24233.0, 24941.0, 26342.0, 26330.0, 27166.0, 28097.0, 28738.0, 29338.0, 30023.0, 30291.0, 30570.0, 30896.0, 31343.0, 31459.0, 31708.0, 31751.0, 31921.0, 31924.0, 31955.0, 31965.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0, 31968.0]",3
32069.0,25,0,knapsack,"[19760.0, 20609.0, 22480.0, 22804.0, 23768.0, 25382.0, 25634.0, 26804.0, 26841.0, 27907.0, 28189.0, 28974.0, 29457.0, 30212.0, 30444.0, 30777.0, 31272.0, 31529.0, 31572.0, 31758.0, 31869.0, 31951.0, 32012.0, 32045.0, 32062.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0, 32069.0]",3
