index,values,weights
0,106,28
1,85,43
2,155,86
3,97,150
4,64,130
5,10,108
6,37,10
7,29,26
8,142,5
9,124,135
10,152,35
11,87,119
12,80,107
13,104,60
14,132,86
15,70,98
16,107,100
17,59,154
18,121,122
19,95,9
20,48,68
21,118,131
22,72,7
23,2,66
24,79,69
25,30,149
26,104,33
27,144,61
28,102,44
29,136,88
30,37,133
31,64,158
32,72,105
33,48,38
34,84,69
35,29,159
36,1,4
37,98,123
38,44,29
39,74,73
40,132,106
41,29,51
42,1,30
43,105,48
44,25,82
45,3,92
46,151,71
47,114,89
48,36,149
49,58,56
50,139,14
51,110,131
52,101,129
53,73,104
54,56,143
55,10,120
56,117,136
57,131,109
58,107,29
59,19,156
60,89,30
61,3,21
62,67,11
63,61,32
64,77,114
65,3,110
66,79,10
67,43,11
68,9,57
69,117,138
70,22,143
71,157,107
72,159,61
73,103,153
74,150,51
75,62,33
76,158,53
77,82,16
78,160,98
79,57,132
80,127,32
81,71,132
82,138,106
83,87,99
84,107,14
85,69,90
86,97,60
87,49,41
88,94,19
89,153,79
90,104,111
91,160,3
92,67,7
93,16,138
94,152,145
95,137,95
96,2,87
97,159,124
98,2,154
99,128,27
100,46,154
101,89,119
102,112,69
103,124,19
104,32,73
105,66,24
106,48,22
107,156,147
108,113,32
109,150,73
110,82,105
111,28,5
112,104,54
113,159,1
114,84,43
115,107,122
116,72,122
117,74,57
118,19,33
119,22,64
120,122,153
121,47,11
122,110,104
123,53,29
124,96,98
125,20,45
126,66,125
127,69,160
128,71,76
129,25,41
130,112,62
131,63,141
132,109,25
133,49,53
134,73,97
135,73,122
136,80,1
137,119,18
138,35,84
139,34,41
140,33,152
141,132,61
142,26,115
143,77,102
144,65,43
145,120,151
146,57,96
147,26,29
148,87,89
149,19,16
150,108,106
151,154,82
152,149,120
153,148,17
154,6,101
155,19,23
156,12,106
157,26,43
158,41,150
159,105,109
160,35,69
161,76,49
162,2,150
163,38,33
164,3,132
165,156,135
166,61,43
167,73,155
168,57,63
169,22,74
170,59,35
171,83,20
172,18,94
173,155,97
174,60,155
175,64,21
176,25,102
177,27,94
178,50,63
179,112,9
180,130,62
181,71,29
182,81,155
183,106,37
184,100,59
185,30,58
186,138,53
187,2,99
188,79,13
189,43,80
190,51,156
191,69,49
192,126,142
193,124,65
194,84,118
195,73,129
196,21,75
197,143,60
198,144,115
199,128,102
