best_value,firstgen_with_best_value,population_gen_type,problem_type
100,9,1,min_max
100,8,1,min_max
100,7,1,min_max
100,7,1,min_max
100,9,1,min_max
100,8,1,min_max
100,9,1,min_max
100,8,1,min_max
100,8,1,min_max
100,7,1,min_max
100,8,1,min_max
100,8,1,min_max
100,8,1,min_max
100,8,1,min_max
100,8,1,min_max
100,8,1,min_max
100,8,1,min_max
100,8,1,min_max
100,7,1,min_max
100,8,1,min_max
100,9,1,min_max
100,9,1,min_max
100,8,1,min_max
100,8,1,min_max
100,8,1,min_max
100,7,1,min_max
100,9,1,min_max
100,8,1,min_max
100,7,1,min_max
100,8,1,min_max
100,8,1,min_max
100,8,1,min_max
100,8,1,min_max
100,8,1,min_max
99,8,1,min_max
100,8,1,min_max
100,8,1,min_max
100,7,1,min_max
100,8,1,min_max
100,8,1,min_max
100,7,1,min_max
100,8,1,min_max
100,8,1,min_max
100,9,1,min_max
100,8,1,min_max
100,8,1,min_max
100,8,1,min_max
100,7,1,min_max
100,8,1,min_max
100,8,1,min_max
100,8,1,min_max
100,9,1,min_max
100,7,1,min_max
100,7,1,min_max
100,9,1,min_max
100,8,1,min_max
100,7,1,min_max
100,8,1,min_max
100,8,1,min_max
100,8,1,min_max
100,8,1,min_max
100,8,1,min_max
100,8,1,min_max
100,8,1,min_max
100,9,1,min_max
100,8,1,min_max
100,9,1,min_max
100,8,1,min_max
100,8,1,min_max
100,8,1,min_max
99,9,1,min_max
100,8,1,min_max
100,9,1,min_max
100,8,1,min_max
100,8,1,min_max
100,8,1,min_max
100,7,1,min_max
100,7,1,min_max
100,8,1,min_max
99,8,1,min_max
100,8,1,min_max
100,9,1,min_max
100,8,1,min_max
100,8,1,min_max
100,9,1,min_max
100,8,1,min_max
100,9,1,min_max
100,8,1,min_max
100,8,1,min_max
100,8,1,min_max
100,8,1,min_max
100,8,1,min_max
100,8,1,min_max
100,8,1,min_max
100,8,1,min_max
100,8,1,min_max
100,8,1,min_max
100,8,1,min_max
100,8,1,min_max
100,8,1,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,6,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,6,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,6,2,min_max
100,7,2,min_max
99,6,2,min_max
100,8,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,6,2,min_max
100,7,2,min_max
100,6,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,8,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,6,2,min_max
100,7,2,min_max
100,7,2,min_max
99,7,2,min_max
100,6,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,6,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,6,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,8,2,min_max
100,7,2,min_max
100,6,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,6,2,min_max
100,7,2,min_max
100,7,2,min_max
100,6,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,6,2,min_max
100,7,2,min_max
100,7,2,min_max
100,6,2,min_max
100,6,2,min_max
100,6,2,min_max
100,7,2,min_max
100,7,2,min_max
100,8,2,min_max
100,7,2,min_max
100,6,2,min_max
100,7,2,min_max
100,8,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,7,2,min_max
100,8,2,min_max
100,7,2,min_max
100,7,2,min_max
100,6,2,min_max
